artistId,artId,artistName,artTitle,artImage,artPrice,artGenre,artTags,artYear,artRate,purchased
42,24,Jacopo Bellini,central-intrados-decoration-with-flowers-and-fruits-busting-out-from-a-rush-basket-mausoleum-of-3,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/central-intrados-decoration-with-flowers-and-fruits-busting-out-from-a-rush-basket-mausoleum-of-3.jpg!Large.jpg,69901,ornament,"Textile, Leaf",2020,3,0
30,25,Giotto,central-intrados-decoration-with-flowers-and-fruits-busting-out-from-a-rush-basket-mausoleum-of-4,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/central-intrados-decoration-with-flowers-and-fruits-busting-out-from-a-rush-basket-mausoleum-of-4.jpg!Large.jpg,51127,ornament,Plant,2019,8,0
9,26,Herrad of Landsberg,galla-placidia-interno-2-1,https://uploads3.wikiart.org/00211/images/byzantine-mosaics/galla-placidia-interno-2-1.jpg!Large.jpg,45192,ornament,"Ceiling, Holyplaces, Dome, Byzantinearchitecture, Building, Symmetry, Basilica",2018,6,0
49,27,Nuno Gonçalves,galla-placidia-decorazione-interno-01-1,https://uploads7.wikiart.org/00211/images/byzantine-mosaics/galla-placidia-decorazione-interno-01-1.jpg!Large.jpg,54611,ornament,"Textile, Pattern",2018,5,0
14,28,Simone Martini,galla-placidia-ravenna-02!Large,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/galla-placidia-ravenna-02.JPG!Large.JPG,50958,ornament,"Pattern, Textile, Motif",2021,8,0
20,29,Álvaro Pires de Évora,central-intrados-decoration-of-the-mausoleum-of-galla-placidia-died-45daughter-of-the-roman-1,https://uploads0.wikiart.org/00211/images/byzantine-mosaics/central-intrados-decoration-of-the-mausoleum-of-galla-placidia-died-450-daughter-of-the-roman-1.jpg!Large.jpg,42327,ornament,"Pattern, Line, Brick, Brown, Tile, Brickwork",2020,8,0
11,30,Alberto Sotio,twins-from-beit-alfa.png,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/twins-from-beit-alfa.png,72980,mythological painting,,2020,9,0
13,31,Pietro Lorenzetti,e-sacrifice-of-isaac,https://uploads7.wikiart.org/00213/images/byzantine-mosaics/the-sacrifice-of-isaac.jpg,54176,religious painting,,2018,2,0
15,32,Ambrogio Lorenzetti,beth-alfa-synagogue-mosaic-07!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-07.JPG!Large.JPG,49051,no genre,"Brown, Text",2020,2,0
40,33,Fra Angelico,beth-alfa-synagogue-mosaic-14!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-14.JPG!Large.JPG,77493,no genre,,2020,7,0
12,34,Claricia,beth-alfa-synagogue-mosaic-13!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-13.JPG!Large.JPG,25660,no genre,"Holyplaces, Stonecarving, Brown",2020,8,1
20,35,Álvaro Pires de Évora,beth-alfa-synagogue-mosaic-12!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-12.JPG!Large.JPG,36856,no genre,"Brown, Beige, Tree",2021,4,1
46,36,Lo Scheggia,beth-alfa-synagogue-mosaic-11!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-11.JPG!Large.JPG,83927,no genre,Brown,2021,2,0
35,37,Lorenzo Monaco,beth-alfa-synagogue-mosaic-04!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-04.JPG!Large.JPG,90325,no genre,"Brown, Beige, Textile",2021,4,0
3,38,Andrei Rublev,beth-alfa-synagogue-mosaic-10!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-10.JPG!Large.JPG,21335,no genre,Brown,2019,7,1
19,39,Limbourg brothers,beth-alfa-synagogue-mosaic-09!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-09.JPG!Large.JPG,38933,no genre,"Brown, Leaf",2018,2,1
42,40,Jacopo Bellini,beth-alfa-synagogue-mosaic-08!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-08.JPG!Large.JPG,25459,no genre,Brown,2019,1,1
42,41,Jacopo Bellini,th-alfa-synagogue-mosaic-06!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-06.JPG!Large.JPG,82209,no genre,"Needlework, Brown, Textile",2021,2,0
19,42,Limbourg brothers,beth-alfa-synagogue-mosaic-05!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-05.JPG!Large.JPG,59440,no genre,"Brown, Circle",2020,1,0
21,43,Pisanello,beth-alfa-synagogue-mosaic-03!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-03.JPG!Large.JPG,69447,no genre,"Brown, Beige",2019,4,0
6,44,Romanesque Architecture,beth-alfa-synagogue-mosaic-02!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-02.JPG!Large.JPG,99218,no genre,Brown,2020,3,0
39,45,Il Sassetta (Stefano di Giovanni),beit-alpha,https://uploads4.wikiart.org/00213/images/byzantine-mosaics/beit-alpha.jpg,85516,mythological painting,Textile,2021,4,0
44,46,Leon Battista Alberti,beth-alfa-synagogue-mosaic-01!Large,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/beth-alfa-synagogue-mosaic-01.JPG!Large.JPG,84419,animal painting,"Relief, Carving, Stonecarving",2021,3,0
34,47,Cennino Cennini,beit-alfa02,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/beit-alfa02.jpg,20274,religious painting,"Ancienthistory, History, Textile",2019,5,1
1,48,Byzantine Mosaics,beit-alfa-synagogue-mosaic,https://uploads3.wikiart.org/00213/images/byzantine-mosaics/beit-alfa-synagogue-mosaic.jpg!Large.jpg,27798,mythological painting,"Holyplaces, History",2018,8,1
30,49,Giotto,st-vitalis-archangel-jesus-christ-second-archangel-and-bishop-of-ravenna-ecclesius,https://uploads5.wikiart.org/00212/images/byzantine-mosaics/st-vitalis-archangel-jesus-christ-second-archangel-and-bishop-of-ravenna-ecclesius.jpg!Large.jpg,99818,religious painting,"Holyplaces, Mythology, Prophet",2020,8,0
38,50,Donatello,sacrifice-of-isaac,https://uploads4.wikiart.org/00212/images/byzantine-mosaics/sacrifice-of-isaac.jpg!Large.jpg,95029,religious painting,"Holyplaces, Arch, Byzantinearchitecture, Stonecarving",2020,6,0
38,51,Donatello,ferta-di-abele-e-melchidesech!Large,https://uploads8.wikiart.org/00212/images/byzantine-mosaics/offerta-di-abele-e-melchidesech.JPG!Large.JPG,28652,religious painting,"Holyplaces, Byzantinearchitecture, Baptistery, Basilica",2019,9,1
36,52,Filippo Brunelleschi,mosaics-of-the-evangelists,https://uploads3.wikiart.org/00212/images/byzantine-mosaics/mosaics-of-the-evangelists.jpg!Large.jpg,69788,religious painting,"Holyplaces, Byzantinearchitecture, Building, Ceiling, Basilica",2021,3,0
43,53,Masaccio,mosaics-in-apse-of-the-basilica-of-san-vitale!Large,https://uploads4.wikiart.org/00212/images/byzantine-mosaics/mosaics-in-apse-of-the-basilica-of-san-vitale.JPG!Large.JPG,54379,religious painting,"Holyplaces, Mythology, Textile, Prophet",2021,4,0
47,54,Domenico Veneziano,mosaici-volta-e-arcone!Large,https://uploads8.wikiart.org/00212/images/byzantine-mosaics/mosaici-volta-e-arcone.JPG!Large.JPG,81856,religious painting,"Holyplaces, Dome, Ceiling, Textile, Symmetry, Pattern",2021,9,0
7,55,Facundus,mosaic-of-theodora,https://uploads4.wikiart.org/00212/images/byzantine-mosaics/mosaic-of-theodora.jpg!Large.jpg,88889,portrait,,2020,7,0
3,56,Andrei Rublev,mosaic-of-theodora-1,https://uploads6.wikiart.org/00212/images/byzantine-mosaics/mosaic-of-theodora-1.jpg!Large.jpg,34592,portrait,"Holyplaces, Textile, Middleages, Religiousitem, History, Prophet",2018,8,1
6,57,Romanesque Architecture,mosaic-of-justinianus-i,https://uploads0.wikiart.org/00212/images/byzantine-mosaics/mosaic-of-justinianus-i.jpg!Large.jpg,87963,portrait,,2019,6,0
7,58,Facundus,choir-floor!Large,https://uploads6.wikiart.org/00212/images/byzantine-mosaics/choir-floor.JPG!Large.JPG,64385,ornament,"Floor, Flooring, Pattern",2019,2,0
25,59,Viking art,isaiah-and-mark-apostle,https://uploads0.wikiart.org/00212/images/byzantine-mosaics/isaiah-and-mark-apostle.jpg!Large.jpg,12656,religious painting,"Holyplaces, Prophet",2018,8,1
36,60,Filippo Brunelleschi,mosaics-of-the-evangelists-1,https://uploads5.wikiart.org/00212/images/byzantine-mosaics/mosaics-of-the-evangelists-1.jpg!Large.jpg,36180,religious painting,"Holyplaces, Byzantinearchitecture",2019,5,1
36,61,Filippo Brunelleschi,iumphal-arch-mosaics,https://uploads8.wikiart.org/00212/images/byzantine-mosaics/triumphal-arch-mosaics.jpg!Large.jpg,42990,religious painting,"Holyplaces, Dome, Ceiling, Byzantinearchitecture, Building",2018,7,0
19,62,Limbourg brothers,lamb-of-god-mosaic,https://uploads4.wikiart.org/00212/images/byzantine-mosaics/lamb-of-god-mosaic.jpg!Large.jpg,67717,religious painting,"Holyplaces, Byzantinearchitecture, Symmetry, Ceiling, Dome, Building, Arch",2018,3,0
8,63,Hildegard of Bingen,mosaici-volta-e-arcone-1,https://uploads1.wikiart.org/00212/images/byzantine-mosaics/mosaici-volta-e-arcone-1.jpg!Large.jpg,53513,religious painting,"Textile, Pattern",2019,5,0
30,64,Giotto,isaia,https://uploads0.wikiart.org/00212/images/byzantine-mosaics/isaia.jpg!Large.jpg,31438,religious painting,,2021,8,1
29,65,Duccio,mosaici-volta-e-arcone-2,https://uploads1.wikiart.org/00212/images/byzantine-mosaics/mosaici-volta-e-arcone-2.jpg!Large.jpg,54143,religious painting,"Holyplaces, Textile",2018,4,0
21,66,Pisanello,emperor-iustinianus-and-his-suite,https://uploads1.wikiart.org/00212/images/byzantine-mosaics/emperor-iustinianus-and-his-suite.jpg!Large.jpg,33794,portrait,"History, Middleages, Textile, Prophet",2020,5,1
33,67,Luca di Tommé,san-vitale-ravenna-int-presbiterio-mosaici-di-sx-02-ospitalit-di-abramo-e-sacrificio-di-isacco-05!Large,https://uploads2.wikiart.org/00212/images/byzantine-mosaics/san-vitale-ravenna-int-presbiterio-mosaici-di-sx-02-ospitalit-di-abramo-e-sacrificio-di-isacco-05.JPG!Large.JPG,74780,religious painting,"History, Prophet",2019,9,0
24,68,Hans Holbein the Elder,san-vitale-ravenna-int-presbiterio-mosaici-di-sx-03-angeli!Large,https://uploads8.wikiart.org/00212/images/byzantine-mosaics/san-vitale-ravenna-int-presbiterio-mosaici-di-sx-03-angeli.JPG!Large.JPG,74675,religious painting,,2018,9,0
16,69,Melchior Broederlam,abraham-mosaics-san-vitale-ravenna-2016,https://uploads7.wikiart.org/00212/images/byzantine-mosaics/abraham-mosaics-san-vitale-ravenna-2016.jpg!Large.jpg,10206,religious painting,"Arch, Holyplaces, Byzantinearchitecture, Stonecarving, Medievalarchitecture",2020,8,1
25,70,Viking art,meister-von-san-vitale-in-ravenna-002,https://uploads5.wikiart.org/00212/images/byzantine-mosaics/meister-von-san-vitale-in-ravenna-002.jpg!Large.jpg,73508,religious painting,"History, Textile",2021,4,0
25,71,Viking art,saic-floor,https://uploads7.wikiart.org/00213/images/byzantine-mosaics/mosaic-floor.jpg!Large.jpg,23416,religious painting,"Cobblestone, Pattern",2021,4,1
34,72,Cennino Cennini,elijah-mosaic,https://uploads8.wikiart.org/00213/images/byzantine-mosaics/elijah-mosaic.jpg!Large.jpg,44053,religious painting,"Textile, Prophet",2021,3,0
42,73,Jacopo Bellini,blessing-christ,https://uploads1.wikiart.org/00213/images/byzantine-mosaics/blessing-christ.jpg!Large.jpg,84586,religious painting,"Holyplaces, Textile",2019,8,0
1,74,Byzantine Mosaics,blessing-christ-mosaic,https://uploads8.wikiart.org/00213/images/byzantine-mosaics/blessing-christ-mosaic.jpg!Large.jpg,52738,religious painting,,2021,3,0
28,75,Cimabue,apse-mosaic,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/apse-mosaic.jpg!Large.jpg,56127,religious painting,"Dome, Byzantinearchitecture, Holyplaces, Building, Religiousinstitute, Baptistery, Historicsite, Arch, Placeofworship",2018,4,0
38,76,Donatello,apse-mosaic-detail,https://uploads4.wikiart.org/00213/images/byzantine-mosaics/apse-mosaic-detail.jpg!Large.jpg,10075,landscape,"Tree, Textile, Organism",2020,2,1
1,77,Byzantine Mosaics,apse-mosaic-deatil,https://uploads4.wikiart.org/00213/images/byzantine-mosaics/apse-mosaic-deatil.jpg!Large.jpg,25104,animal painting,sheep,2018,8,1
5,78,Ende,transfiguration-scene,https://uploads7.wikiart.org/00213/images/byzantine-mosaics/transfiguration-scene.jpg!Large.jpg,11341,religious painting,"Holyplaces, Dome",2021,3,1
39,79,Il Sassetta (Stefano di Giovanni),moses-mosaic,https://uploads7.wikiart.org/00213/images/byzantine-mosaics/moses-mosaic.jpg!Large.jpg,67309,religious painting,"Prophet, Religiousinstitute",2020,4,0
3,80,Andrei Rublev,sant-apollinare-in-classe-mosaici-del-catino-trasfigurazione-simbolica-vi-secolo-15-s-apollinare,https://uploads1.wikiart.org/00213/images/byzantine-mosaics/sant-apollinare-in-classe-mosaici-del-catino-trasfigurazione-simbolica-vi-secolo-15-s-apollinare.jpg!Large.jpg,89746,religious painting,"Holyplaces, Textile, Prophet, Mythology",2021,9,0
30,81,Giotto,int-apollenaris,https://uploads3.wikiart.org/00213/images/byzantine-mosaics/saint-apollenaris.jpg!Large.jpg,31690,religious painting,Prophet,2021,3,1
30,82,Giotto,petra-5748358753,https://uploads2.wikiart.org/00213/images/byzantine-mosaics/petra-5748358753.jpg!Large.jpg,99155,animal painting,,2020,3,0
8,83,Hildegard of Bingen,mosaic-petra-church-5!Large,https://uploads7.wikiart.org/00213/images/byzantine-mosaics/mosaic-petra-church-5.JPG!Large.JPG,10612,animal painting,Stonecarving,2020,4,1
44,84,Leon Battista Alberti,mosaic-of-byzantine-church-of-petra-01,https://uploads6.wikiart.org/00213/images/byzantine-mosaics/mosaic-of-byzantine-church-of-petra-01.jpg!Large.jpg,24220,animal painting,Textile,2021,2,1
25,85,Viking art,mosaic-of-a-woman-petra-church,https://uploads7.wikiart.org/00213/images/byzantine-mosaics/mosaic-of-a-woman-petra-church.jpg!Large.jpg,18525,portrait,"Holyplaces, History, Ancienthistory",2020,8,1
38,86,Donatello,mosaic-of-a-wild-boar-petra-church,https://uploads2.wikiart.org/00213/images/byzantine-mosaics/mosaic-of-a-wild-boar-petra-church.jpg!Large.jpg,67593,animal painting,,2019,7,0
37,87,Lorenzo Ghiberti,ok-anos-mosaique-petra-jordanie,https://uploads8.wikiart.org/00213/images/byzantine-mosaics/ok-anos-mosaique-petra-jordanie.jpg!Large.jpg,85545,mythological painting,Ancienthistory,2019,7,0
17,88,Gentile da Fabriano,mosaic-of-a-man-petra-church,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/mosaic-of-a-man-petra-church.jpg!Large.jpg,65759,portrait,,2018,8,0
35,89,Lorenzo Monaco,jordan1220,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/jordan1220.jpg!Large.jpg,31001,animal painting,Stonecarving,2021,2,1
25,90,Viking art,jordan1227,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/jordan1227.jpg!Large.jpg,18740,animal painting,,2018,6,1
11,91,Alberto Sotio,rdan1222,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/jordan1222.jpg!Large.jpg,10404,animal painting,,2019,1,1
11,92,Alberto Sotio,jordan1221,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/jordan1221.jpg!Large.jpg,39879,animal painting,,2019,4,1
12,93,Claricia,jordan1215,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/jordan1215.jpg!Large.jpg,96620,animal painting,,2019,9,0
15,94,Ambrogio Lorenzetti,jordan-18c-122b,https://uploads1.wikiart.org/00213/images/byzantine-mosaics/jordan-18c-122b.jpg!Large.jpg,13770,animal painting,"rooster, Brickwork, Brick, chicken",2018,7,1
20,95,Álvaro Pires de Évora,image-of-a-giraffe-in-the-church-mosaic-at-petra-5661297237,https://uploads0.wikiart.org/00213/images/byzantine-mosaics/image-of-a-giraffe-in-the-church-mosaic-at-petra-5661297237.jpg!Large.jpg,67010,animal painting,,2020,4,0
41,96,Paolo Uccello,byzantinischer-mosaizist-des-9-jahrhunderts-003,https://uploads6.wikiart.org/00211/images/byzantine-mosaics/byzantinischer-mosaizist-des-9-jahrhunderts-003.jpg!Large.jpg,27025,religious painting,"Holyplaces, Religiousitem, Prophet",2021,5,1
24,97,Hans Holbein the Elder,hagia-sophia-constantinople-angel,https://uploads1.wikiart.org/00211/images/byzantine-mosaics/hagia-sophia-constantinople-angel.jpg!Large.jpg,21738,religious painting,"angels-and-archangels, Highpriest, Prophet, Angel",2021,7,1
37,98,Lorenzo Ghiberti,apse-mosaic-hagia-sophia-virgin-and-child,https://uploads0.wikiart.org/00211/images/byzantine-mosaics/apse-mosaic-hagia-sophia-virgin-and-child.jpg!Large.jpg,91571,religious painting,"Virgin-and-Child, Holyplaces, Prophet, Middleages, History",2018,7,0
45,99,Filippo Lippi,hagia-sophia-altar,https://uploads3.wikiart.org/00211/images/byzantine-mosaics/hagia-sophia-altar.jpg,98687,religious painting,"Virgin-and-Child, Dome, Byzantinearchitecture, Holyplaces, Building, Landmark, Ceiling, Baptistery, Religiousinstitute, Basilica",2020,2,0
31,100,Paolo Veneziano,detail-of-the-imperial-gate-mosaic-in-hagia-sophia-showing-christ-pantocrator,https://uploads0.wikiart.org/00211/images/byzantine-mosaics/detail-of-the-imperial-gate-mosaic-in-hagia-sophia-showing-christ-pantocrator.jpg!Large.jpg,69120,religious painting,,2018,10,0
39,101,Il Sassetta (Stefano di Giovanni),detail-of-the-imperial-gate-mosaic-in-hagia-sophia-showing-leo-vi-the-wise,https://uploads6.wikiart.org/00211/images/byzantine-mosaics/detail-of-the-imperial-gate-mosaic-in-hagia-sophia-showing-leo-vi-the-wise.jpg!Large.jpg,21425,religious painting,,2020,6,1
39,102,Il Sassetta (Stefano di Giovanni),hagia-sophia-imperial-gate-mosaic,https://uploads1.wikiart.org/00211/images/byzantine-mosaics/hagia-sophia-imperial-gate-mosaic.jpg!Large.jpg,25182,religious painting,"Holyplaces, Byzantinearchitecture, History, Middleages, Arch",2020,10,1
6,103,Romanesque Architecture,alexandros-mosaic-hagia-sophia!Large,https://uploads7.wikiart.org/00211/images/byzantine-mosaics/alexandros-mosaic-hagia-sophia.JPG!Large.JPG,52557,portrait,Religiousitem,2018,7,0
2,104,Orthodox Icons,mosaic-icon-up-to-the-hagia-sophia-entrance,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/mosaic-icon-up-to-the-hagia-sophia-entrance.jpg!Large.jpg,93855,religious painting,"Holyplaces, Arch",2021,2,0
3,105,Andrei Rublev,emperor-constantine-i-presenting-a-model-of-the-city-to-the-blessed-virgin-mary,https://uploads2.wikiart.org/00211/images/byzantine-mosaics/emperor-constantine-i-presenting-a-model-of-the-city-to-the-blessed-virgin-mary.jpg!Large.jpg,47014,portrait,"Holyplaces, History, Middleages, Prophet",2021,2,0
45,106,Filippo Lippi,a-blessing-child-jesus,https://uploads8.wikiart.org/00211/images/byzantine-mosaics/a-blessing-child-jesus.jpg!Large.jpg,74716,religious painting,Textile,2019,5,0
9,107,Herrad of Landsberg,hosios-loukas-katholikon-nave-north-west-squinch-presentation-01,https://uploads5.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-nave-north-west-squinch-presentation-01.jpg!Large.jpg,70173,religious painting,"Nativityscene, Cope, Prophet, Religiousitem",2020,5,0
15,108,Ambrogio Lorenzetti,hosios-loukas-katholikon-nave-south-east-squinch-nativity-01,https://uploads1.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-nave-south-east-squinch-nativity-01.jpg!Large.jpg,85887,religious painting,,2019,5,0
35,109,Lorenzo Monaco,hosios-loukas-katholikon-nave-south-east-squinch-nativity-detail-02,https://uploads8.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-nave-south-east-squinch-nativity-detail-02.jpg!Large.jpg,95565,religious painting,"History, Prophet, Middleages",2018,2,0
1,110,Byzantine Mosaics,hosios-loukas-katholikon-nave-south-east-squinch-nativity-detail-01,https://uploads8.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-nave-south-east-squinch-nativity-detail-01.jpg!Large.jpg,78058,religious painting,Prophet,2019,6,0
8,111,Hildegard of Bingen,sios-loukas-katholikon-sanctuary-vault-pentecost-01,https://uploads3.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-sanctuary-vault-pentecost-01.jpg!Large.jpg,44086,religious painting,,2021,5,0
45,112,Filippo Lippi,hosios-loukas-katholikon-sanctuary-vault-pentecost-detail-01-glossai,https://uploads0.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-sanctuary-vault-pentecost-detail-01-glossai.jpg!Large.jpg,58032,religious painting,"Prophet, Middleages",2019,9,0
44,113,Leon Battista Alberti,hosios-loukas-katholikon-conch-of-the-apse-virgin-with-child-02,https://uploads4.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-conch-of-the-apse-virgin-with-child-02.jpg!Large.jpg,91938,religious painting,Prophet,2018,3,0
10,114,Nicholas of Verdun,hosios-loukas-katholikon-nave-south-west-squinch-baptism-04,https://uploads0.wikiart.org/00213/images/byzantine-mosaics/hosios-loukas-katholikon-nave-south-west-squinch-baptism-04.jpg!Large.jpg,36950,religious painting,"Holyplaces, Byzantinearchitecture, Baptistery, Basilica, Dome, Arch",2018,9,1
